link;title;year count;mean;median;mode; mode frequency;standard deviation;1st Quartile;3rd Quartile;IQR;minimum value;maximum value;filter min;filter max
https://plato.stanford.edu/entries/theoretical-terms-science/;Theoretical Terms in Science ;224;1973;1970;1962;17;26;1958;1996;38;1902;2017;1200;2020
https://plato.stanford.edu/entries/thick-ethical-concepts/;Thick Ethical Concepts ;300;1996;2002;2013;63;27;1989;2013;24;1739;2016;1200;2020
https://plato.stanford.edu/entries/erfurt/;Thomas of Erfurt ;67;1871;1972;1972;4;228;1909;1994;85;1270;2019;1200;2020
https://plato.stanford.edu/entries/thoreau/;Henry David Thoreau ;127;1966;1995;2012;15;64;1964;2008;44;1720;2017;1200;2020
https://plato.stanford.edu/entries/thought-experiment/;Thought Experiments ;583;1996;2004;2004;34;28;1992;2011;19;1697;2020;1200;2020
https://plato.stanford.edu/entries/tibbon/;Samuel Ibn Tibbon ;105;1821;1990;2000;10;318;1912;2004;92;1200;2019;1200;2020
https://plato.stanford.edu/entries/epistemology-language-tibetan/;Tibetan Epistemology and Philosophy of Language ;76;1860;1998;1989;8;268;1980;2007;27;1200;2020;1200;2020
https://plato.stanford.edu/entries/time/;Time ;297;1991;1998;2012;14;28;1980;2012;32;1771;2020;1200;2020
https://plato.stanford.edu/entries/time-experience/;The Experience and Perception of Time ;117;1991;2000;2018;9;32;1988;2011;23;1842;2019;1200;2020
https://plato.stanford.edu/entries/time-thermo/;Thermodynamic Asymmetry in Time ;266;1984;1996;2011;15;57;1985;2006;21;1237;2016;1200;2020
https://plato.stanford.edu/entries/time-machine/;Time Machines ;102;1985;2001;XXXX;XXXX;89;1992;2009;17;1399;2020;1200;2020
https://plato.stanford.edu/entries/time-travel/;Time Travel ;194;1990;2000;2005;17;60;1985;2006;21;1200;2018;1200;2020
https://plato.stanford.edu/entries/time-travel-phys/;Time Travel and Modern Physics ;56;1988;1991;1990;8;19;1985;1996;11;1915;2016;1200;2020
https://plato.stanford.edu/entries/timon-phlius/;Timon of Phlius ;22;1996;2006;2010;6;26;1985;2010;25;1901;2018;1200;2020
https://plato.stanford.edu/entries/toleration/;Toleration ;160;1932;1996;2013;12;140;1962;2007;45;1453;2017;1200;2020
https://plato.stanford.edu/entries/tort-theories/;Theories of the Common Law of Torts ;159;1976;1995;1995;35;93;1990;2001;11;1283;2016;1200;2020
https://plato.stanford.edu/entries/torture/;Torture ;227;1993;2005;2005;38;55;2000;2009;9;1425;2017;1200;2020
https://plato.stanford.edu/entries/touch/;Touch ;133;1997;2008;2014;16;63;2002;2014;12;1426;2020;1200;2020
https://plato.stanford.edu/entries/transcendental-arguments/;Transcendental Arguments ;285;1986;1996;1999;21;42;1981;2005;24;1739;2020;1200;2020
https://plato.stanford.edu/entries/transcendentalism/;Transcendentalism ;148;1919;1966;XXXX;XXXX;83;1840;1995;155;1733;2019;1200;2020
https://plato.stanford.edu/entries/transcendentals-medieval/;Medieval Theories of Transcendentals ;87;1863;1997;2012;7;274;1954;2008;54;1200;2019;1200;2020
https://plato.stanford.edu/entries/transmission-justification-warrant/;Transmission of Justification and Warrant ;283;2005;2006;2003;35;9;2003;2010;7;1939;2018;1200;2020
https://plato.stanford.edu/entries/persons-means/;Treating Persons as Means ;104;1982;2007;2011;15;62;1992;2011;19;1785;2019;1200;2020
https://plato.stanford.edu/entries/trinity/;Trinity ;692;1970;2006;2007;51;96;1989;2013;24;1259;2020;1200;2020
https://plato.stanford.edu/entries/tropes/;Tropes ;419;1993;2001;2001;29;26;1990;2009;19;1851;2018;1200;2020
https://plato.stanford.edu/entries/trust/;Trust ;463;2006;2008;2020;56;13;1996;2017;21;1960;2020;1200;2020
https://plato.stanford.edu/entries/truth/;Truth ;356;1980;1989;2018;44;31;1970;2001;31;1898;2018;1200;2020
https://plato.stanford.edu/entries/truth-axiomatic/;Axiomatic Theories of Truth ;152;1992;1998;XXXX;XXXX;46;1987;2010;23;1484;2020;1200;2020
https://plato.stanford.edu/entries/truth-coherence/;The Coherence Theory of Truth ;42;1970;1988;1995;5;45;1936;2001;65;1807;2018;1200;2020
https://plato.stanford.edu/entries/truth-correspondence/;The Correspondence Theory of Truth ;359;1960;1978;2004;15;58;1931;1998;67;1639;2020;1200;2020
https://plato.stanford.edu/entries/truth-deflationary/;The Deflationary Theory of Truth ;174;1990;1997;1998;19;20;1988;2001;13;1918;2016;1200;2020
https://plato.stanford.edu/entries/truth-identity/;The Identity Theory of Truth ;152;1989;1998;2008;17;26;1987;2003;16;1899;2016;1200;2020
https://plato.stanford.edu/entries/truth-pluralist/;Pluralist Theories of Truth ;292;2001;2005;2013;41;21;2000;2013;13;1905;2018;1200;2020
https://plato.stanford.edu/entries/truth-pragmatic/;The Pragmatic Theory of Truth ;389;1977;1998;2008;19;42;1941;2008;67;1839;2019;1200;2020
https://plato.stanford.edu/entries/truth-revision/;The Revision Theory of Truth ;98;1998;1996;1993;24;11;1993;2008;15;1975;2016;1200;2020
https://plato.stanford.edu/entries/truthlikeness/;Truthlikeness ;237;1987;1987;1987;22;26;1977;1999;22;1647;2016;1200;2020
